315465, 1, 20250116215003.967799
315525, 1, 20250116215004.967830
315585, 1, 20250116215005.967835
315645, 1, 20250116215006.967924
315705, 1, 20250116215007.967917
315765, 1, 20250116215008.967943
315825, 1, 20250116215009.967880
315885, 1, 20250116215010.967927
315945, 1, 20250116215011.967955
316005, 1, 20250116215012.967983
316065, 1, 20250116215013.968000
316125, 1, 20250116215014.968036
316185, 1, 20250116215015.968132
316245, 1, 20250116215016.968107
316305, 1, 20250116215017.968132
316365, 1, 20250116215018.968147
316425, 1, 20250116215019.968184
