601291, 1, 20250111163137.254381
601351, 1, 20250111163138.254458
601411, 1, 20250111163139.254445
601471, 1, 20250111163140.254520
601531, 1, 20250111163141.254537
601591, 1, 20250111163142.254614
601651, 1, 20250111163143.254610
601711, 1, 20250111163144.254638
601771, 1, 20250111163145.254656
601831, 1, 20250111163146.254766
601891, 1, 20250111163147.254735
601951, 1, 20250111163148.254804
602011, 1, 20250111163149.254703
602071, 1, 20250111163150.254786
602131, 1, 20250111163151.254839
602191, 1, 20250111163152.254795
602251, 1, 20250111163153.254803
602311, 1, 20250111163154.254818
602371, 1, 20250111163155.254860
602431, 1, 20250111163156.254913
602491, 1, 20250111163157.254951
602551, 1, 20250111163158.256028
602611, 1, 20250111163159.254971
602671, 1, 20250111163200.254988
602731, 1, 20250111163201.255030
602791, 1, 20250111163202.255063
602851, 1, 20250111163203.255099
602911, 1, 20250111163204.255126
602971, 1, 20250111163205.255147
603031, 1, 20250111163206.255173
603091, 1, 20250111163207.255203
603151, 1, 20250111163208.255230
603211, 1, 20250111163209.255259
603271, 1, 20250111163210.255290
603331, 1, 20250111163211.255316
603391, 1, 20250111163212.255347
603451, 1, 20250111163213.255382
603511, 1, 20250111163214.255415
603571, 1, 20250111163215.255443
603631, 1, 20250111163216.255467
