964877, 1, 20250112114954.318656
964937, 1, 20250112114955.318674
964997, 1, 20250112114956.318707
965057, 1, 20250112114957.318733
965117, 1, 20250112114958.318750
965177, 1, 20250112114959.318777
965237, 1, 20250112115000.318820
965297, 1, 20250112115001.318841
965357, 1, 20250112115002.318870
965417, 1, 20250112115003.318903
965477, 1, 20250112115004.318952
965537, 1, 20250112115005.318988
965597, 1, 20250112115006.318987
965657, 1, 20250112115007.319004
965717, 1, 20250112115008.319045
965777, 1, 20250112115009.319065
965837, 1, 20250112115010.319098
965897, 1, 20250112115011.319126
965957, 1, 20250112115012.319154
966017, 1, 20250112115013.319195
966077, 1, 20250112115014.319223
966137, 1, 20250112115015.319247
966197, 1, 20250112115016.319264
966257, 1, 20250112115017.319277
966317, 1, 20250112115018.319337
966377, 1, 20250112115019.319344
966437, 1, 20250112115020.319393
966497, 1, 20250112115021.319414
966557, 1, 20250112115022.319441
966617, 1, 20250112115023.319489
966677, 1, 20250112115024.319521
966737, 1, 20250112115025.319513
966797, 1, 20250112115026.319556
966857, 1, 20250112115027.319588
966917, 1, 20250112115028.319610
966977, 1, 20250112115029.319636
967037, 1, 20250112115030.319664
967097, 1, 20250112115031.319709
967157, 1, 20250112115032.319724
967217, 1, 20250112115033.319782
967277, 1, 20250112115034.319798
